Sample Rate: 400,,,,,,
Relative Time,Date,Time Stamp UTC,Left MCA,Right MCA,Event Marker Comments,Chn 1 Events
0,5/23/2019,3:53:56 PM,0.864562988,0.870361328,,
0.01,5/23/2019,3:53:56 PM,0.83190918,0.843200684,,
0.02,5/23/2019,3:53:56 PM,0.801086426,0.818481445,,
0.03,5/23/2019,3:53:56 PM,0.781860352,0.797424316,,
0.04,5/23/2019,3:53:56 PM,0.776977539,0.782470703,,
0.05,5/23/2019,3:53:56 PM,0.781555176,0.773925781,,
0.06,5/23/2019,3:53:56 PM,0.789489746,0.771179199,,
0.07,5/23/2019,3:53:56 PM,0.798339844,0.770874023,,
0.08,5/23/2019,3:53:56 PM,0.809020996,0.772399902,,
0.09,5/23/2019,3:53:56 PM,0.82244873,0.777587891,,
0.1,5/23/2019,3:53:56 PM,0.836486816,0.788574219,,
0.11,5/23/2019,3:53:56 PM,0.847167969,0.804443359,,
0.12,5/23/2019,3:53:56 PM,0.849914551,0.819091797,,
0.13,5/23/2019,3:53:56 PM,0.842590332,0.828552246,,
0.14,5/23/2019,3:53:56 PM,0.827026367,0.831298828,,
0.15,5/23/2019,3:53:56 PM,0.807495117,0.828552246,,
0.16,5/23/2019,3:53:56 PM,0.787353516,0.818481445,,
0.17,5/23/2019,3:53:56 PM,0.766906738,0.798339844,,
0.18,5/23/2019,3:53:56 PM,0.747070313,0.768432617,,
0.19,5/23/2019,3:53:56 PM,0.726928711,0.731506348,,
0.2,5/23/2019,3:53:56 PM,0.706176758,0.692138672,,
0.21,5/23/2019,3:53:56 PM,0.686035156,0.656738281,,
0.22,5/23/2019,3:53:56 PM,0.665893555,0.628662109,,
0.23,5/23/2019,3:53:56 PM,0.647583008,0.609741211,,
0.24,5/23/2019,3:53:56 PM,0.633239746,0.599060059,,
0.25,5/23/2019,3:53:56 PM,0.624694824,0.595092773,,
0.26,5/23/2019,3:53:56 PM,0.620422363,0.594787598,,
0.27,5/23/2019,3:53:56 PM,0.618591309,0.595092773,,
0.28,5/23/2019,3:53:56 PM,0.618591309,0.595397949,,
0.29,5/23/2019,3:53:56 PM,0.61920166,0.595397949,,
0.3,5/23/2019,3:53:56 PM,0.61920166,0.59753418,,
0.31,5/23/2019,3:53:56 PM,0.619506836,0.602722168,,
0.32,5/23/2019,3:53:56 PM,0.619812012,0.610656738,,
0.33,5/23/2019,3:53:56 PM,0.619812012,0.615844727,,
0.34,5/23/2019,3:53:56 PM,0.619506836,0.612487793,,
0.35,5/23/2019,3:53:56 PM,0.61920166,0.599365234,,
0.36,5/23/2019,3:53:56 PM,0.618591309,0.581359863,,
0.37,5/23/2019,3:53:56 PM,0.616760254,0.563354492,,
0.38,5/23/2019,3:53:56 PM,0.610961914,0.548706055,,
0.39,5/23/2019,3:53:56 PM,0.600891113,0.539245605,,
0.4,5/23/2019,3:53:56 PM,0.592041016,0.534362793,,
0.41,5/23/2019,3:53:56 PM,0.587158203,0.532531738,,
0.42,5/23/2019,3:53:56 PM,0.586242676,0.531921387,,
0.43,5/23/2019,3:53:56 PM,0.586547852,0.531921387,,
0.44,5/23/2019,3:53:56 PM,0.587158203,0.531616211,,
0.45,5/23/2019,3:53:56 PM,0.589294434,0.531005859,,
0.46,5/23/2019,3:53:56 PM,0.594482422,0.531616211,,
0.47,5/23/2019,3:53:56 PM,0.600891113,0.531921387,,
0.48,5/23/2019,3:53:56 PM,0.605163574,0.532226563,,
0.49,5/23/2019,3:53:56 PM,0.602416992,0.532226563,,
0.5,5/23/2019,3:53:56 PM,0.59387207,0.532226563,,
0.51,5/23/2019,3:53:56 PM,0.583190918,0.532226563,,
0.52,5/23/2019,3:53:56 PM,0.575256348,0.532226563,,
0.53,5/23/2019,3:53:56 PM,0.571289063,0.532226563,,
0.54,5/23/2019,3:53:56 PM,0.570678711,0.532226563,,
0.55,5/23/2019,3:53:56 PM,0.570983887,0.531921387,,
0.56,5/23/2019,3:53:56 PM,0.571289063,0.531616211,,
0.57,5/23/2019,3:53:56 PM,0.570983887,0.529174805,,
0.58,5/23/2019,3:53:56 PM,0.569152832,0.523071289,,
0.59,5/23/2019,3:53:56 PM,0.562133789,0.510864258,,
0.6,5/23/2019,3:53:56 PM,0.548706055,0.493774414,,
0.61,5/23/2019,3:53:56 PM,0.531005859,0.474853516,,
0.62,5/23/2019,3:53:56 PM,0.514221191,0.457763672,,
0.63,5/23/2019,3:53:56 PM,0.501098633,0.444946289,,
0.64,5/23/2019,3:53:56 PM,0.493469238,0.437316895,,
0.65,5/23/2019,3:53:56 PM,0.490722656,0.434875488,,
0.66,5/23/2019,3:53:56 PM,0.49041748,0.435180664,,
0.67,5/23/2019,3:53:56 PM,0.490722656,0.435791016,,
0.68,5/23/2019,3:53:56 PM,0.491027832,0.436096191,,
0.69,5/23/2019,3:53:56 PM,0.491333008,0.436096191,,
0.7,5/23/2019,3:53:56 PM,0.491943359,0.436096191,,
0.71,5/23/2019,3:53:56 PM,0.491943359,0.435791016,,
0.72,5/23/2019,3:53:56 PM,0.491638184,0.435791016,,
0.73,5/23/2019,3:53:56 PM,0.491638184,0.43548584,,
0.74,5/23/2019,3:53:56 PM,0.491638184,0.435180664,,
0.75,5/23/2019,3:53:56 PM,0.491943359,0.43548584,,
0.76,5/23/2019,3:53:56 PM,0.492248535,0.435791016,,
0.77,5/23/2019,3:53:56 PM,0.492248535,0.436096191,,
0.78,5/23/2019,3:53:56 PM,0.491943359,0.435791016,,
0.79,5/23/2019,3:53:56 PM,0.491638184,0.435791016,,
0.8,5/23/2019,3:53:56 PM,0.491333008,0.435180664,,
0.81,5/23/2019,3:53:56 PM,0.491333008,0.434875488,,
0.82,5/23/2019,3:53:56 PM,0.490112305,0.434265137,,
0.83,5/23/2019,3:53:56 PM,0.484313965,0.432128906,,
0.84,5/23/2019,3:53:56 PM,0.473327637,0.426330566,,
0.85,5/23/2019,3:53:56 PM,0.458984375,0.414733887,,
0.86,5/23/2019,3:53:56 PM,0.444946289,0.398864746,,
0.87,5/23/2019,3:53:56 PM,0.434570313,0.384216309,,
0.88,5/23/2019,3:53:56 PM,0.4296875,0.375061035,,
0.89,5/23/2019,3:53:56 PM,0.42755127,0.371704102,,
0.9,5/23/2019,3:53:56 PM,0.425415039,0.37109375,,
0.91,5/23/2019,3:53:56 PM,0.420532227,0.371398926,,
0.92,5/23/2019,3:53:56 PM,0.413513184,0.371704102,,
0.93,5/23/2019,3:53:56 PM,0.407104492,0.374450684,,
0.94,5/23/2019,3:53:56 PM,0.406799316,0.386657715,,
0.95,5/23/2019,3:53:56 PM,0.420227051,0.417785645,,
0.96,5/23/2019,3:53:56 PM,0.456848145,0.474243164,,
0.97,5/23/2019,3:53:56 PM,0.525512695,0.557861328,,
0.98,5/23/2019,3:53:56 PM,0.62713623,0.667114258,,
0.99,5/23/2019,3:53:56 PM,0.746765137,0.794372559,,
1,5/23/2019,3:53:57 PM,0.868530273,0.929870605,,
1.01,5/23/2019,3:53:57 PM,0.97869873,1.063537598,,
1.02,5/23/2019,3:53:57 PM,1.067504883,1.18347168,,
1.03,5/23/2019,3:53:57 PM,1.131896973,1.279907227,,
1.04,5/23/2019,3:53:57 PM,1.175231934,1.343994141,,
1.05,5/23/2019,3:53:57 PM,1.202392578,1.373291016,,
1.06,5/23/2019,3:53:57 PM,1.218566895,1.370239258,,
1.07,5/23/2019,3:53:57 PM,1.224060059,1.33972168,,
1.08,5/23/2019,3:53:57 PM,1.21307373,1.290283203,,
1.09,5/23/2019,3:53:57 PM,1.180114746,1.231994629,,
1.1,5/23/2019,3:53:57 PM,1.128234863,1.171264648,,
1.11,5/23/2019,3:53:57 PM,1.068115234,1.112365723,,
1.12,5/23/2019,3:53:57 PM,1.009216309,1.05682373,,
1.13,5/23/2019,3:53:57 PM,0.957336426,1.005554199,,
1.14,5/23/2019,3:53:57 PM,0.917358398,0.958251953,,
1.15,5/23/2019,3:53:57 PM,0.890808105,0.917053223,,
1.16,5/23/2019,3:53:57 PM,0.876464844,0.88684082,,
1.17,5/23/2019,3:53:57 PM,0.873718262,0.867919922,,
1.18,5/23/2019,3:53:57 PM,0.881347656,0.85723877,,
1.19,5/23/2019,3:53:57 PM,0.895080566,0.852966309,,
1.2,5/23/2019,3:53:57 PM,0.906982422,0.852050781,,
1.21,5/23/2019,3:53:57 PM,0.908508301,0.851745605,,
1.22,5/23/2019,3:53:57 PM,0.899047852,0.850830078,,
1.23,5/23/2019,3:53:57 PM,0.882568359,0.848083496,,
1.24,5/23/2019,3:53:57 PM,0.863037109,0.841674805,,
1.25,5/23/2019,3:53:57 PM,0.842590332,0.830688477,,
1.26,5/23/2019,3:53:57 PM,0.82244873,0.815124512,,
1.27,5/23/2019,3:53:57 PM,0.803527832,0.797119141,,
1.28,5/23/2019,3:53:57 PM,0.786743164,0.779724121,,
1.29,5/23/2019,3:53:57 PM,0.776672363,0.765991211,,
1.3,5/23/2019,3:53:57 PM,0.777893066,0.758056641,,
1.31,5/23/2019,3:53:57 PM,0.790405273,0.755615234,,
1.32,5/23/2019,3:53:57 PM,0.808105469,0.757141113,,
1.33,5/23/2019,3:53:57 PM,0.823974609,0.762329102,,
1.34,5/23/2019,3:53:57 PM,0.833129883,0.771789551,,
1.35,5/23/2019,3:53:57 PM,0.832214355,0.786132813,,
1.36,5/23/2019,3:53:57 PM,0.821838379,0.802001953,,
1.37,5/23/2019,3:53:57 PM,0.806884766,0.813903809,,
1.38,5/23/2019,3:53:57 PM,0.79284668,0.817871094,,
1.39,5/23/2019,3:53:57 PM,0.782775879,0.812988281,,
1.4,5/23/2019,3:53:57 PM,0.777587891,0.800170898,,
1.41,5/23/2019,3:53:57 PM,0.773010254,0.78125,,
1.42,5/23/2019,3:53:57 PM,0.762634277,0.758056641,,
1.43,5/23/2019,3:53:57 PM,0.744018555,0.731506348,,
1.44,5/23/2019,3:53:57 PM,0.718688965,0.703125,,
1.45,5/23/2019,3:53:57 PM,0.690612793,0.67565918,,
1.46,5/23/2019,3:53:57 PM,0.667419434,0.651245117,,
1.47,5/23/2019,3:53:57 PM,0.653991699,0.632629395,,
1.48,5/23/2019,3:53:57 PM,0.650024414,0.619506836,,
1.49,5/23/2019,3:53:57 PM,0.65032959,0.613098145,,
1.5,5/23/2019,3:53:57 PM,0.650939941,0.610961914,,
1.51,5/23/2019,3:53:57 PM,0.651245117,0.61126709,,
1.52,5/23/2019,3:53:57 PM,0.651245117,0.611572266,,
1.53,5/23/2019,3:53:57 PM,0.651245117,0.611572266,,
1.54,5/23/2019,3:53:57 PM,0.651245117,0.61126709,,
1.55,5/23/2019,3:53:57 PM,0.652160645,0.608825684,,
1.56,5/23/2019,3:53:57 PM,0.65246582,0.600585938,,
1.57,5/23/2019,3:53:57 PM,0.652160645,0.587158203,,
1.58,5/23/2019,3:53:57 PM,0.651550293,0.573730469,,
1.59,5/23/2019,3:53:57 PM,0.651245117,0.565795898,,
1.6,5/23/2019,3:53:57 PM,0.65032959,0.562744141,,
1.61,5/23/2019,3:53:57 PM,0.64666748,0.562744141,,
1.62,5/23/2019,3:53:57 PM,0.639343262,0.563049316,,
1.63,5/23/2019,3:53:57 PM,0.628662109,0.563659668,,
1.64,5/23/2019,3:53:57 PM,0.61706543,0.563659668,,
1.65,5/23/2019,3:53:57 PM,0.608520508,0.562744141,,
1.66,5/23/2019,3:53:57 PM,0.603942871,0.559387207,,
1.67,5/23/2019,3:53:57 PM,0.602416992,0.552978516,,
1.68,5/23/2019,3:53:57 PM,0.602416992,0.54473877,,
1.69,5/23/2019,3:53:57 PM,0.602416992,0.537719727,,
1.7,5/23/2019,3:53:57 PM,0.603027344,0.533447266,,
1.71,5/23/2019,3:53:57 PM,0.60333252,0.531921387,,
1.72,5/23/2019,3:53:57 PM,0.602722168,0.531921387,,
1.73,5/23/2019,3:53:57 PM,0.598754883,0.531616211,,
1.74,5/23/2019,3:53:57 PM,0.590820313,0.52947998,,
1.75,5/23/2019,3:53:57 PM,0.579223633,0.523986816,,
