fNIRS,,,,,,TCD,,,,,,,,,fNIRS,,,,,,,,,,,,,,,,,TCD,,,,,,,,,,,,,
SUBJ001,,SessionDate:,2/16/2018,,,,SessionDate:,7/12/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,SUBJ001,SUBJ002,SUBJ003,SUBJ004,SUBJ005,SUBJ006,SUBJ007,SUBJ008,SUBJ009,SUBJ010,SUBJ011,SUBJ012,SUBJ013,SUBJ014,,,,SUBJ001,SUBJ002,SUBJ003,SUBJ004,SUBJ005,SUBJ006,SUBJ007,SUBJ008,SUBJ009,SUBJ010,SUBJ011,SUBJ012,SUBJ013,SUBJ014
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,W,IC - NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,W,IC - NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
W,0,0,45,15,,W,0,0,45,15,,,,IC- FA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,,,IC- FA,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1- back,0,0,45,15,,1- back,0,0,45,15,,,,C - NR,45,45,45,45,44,45,45,45,45,45,45,44,45,45,,,C - NR,45,45,45,45,45,45,45,45,45,45,44,45,45,45
W,0,0,45,15,,W,0,0,45,15,,,,C- Hit,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,C- Hit,15,15,15,15,15,15,15,15,15,15,15,15,15,15
2- back,1,0,45,14,,2- back,0,0,45,15,,,,RT,416.7333333,382.7333333,337.7333333,365.7333333,421.3125,393.4,468.7333333,493.7333333,397.8666667,448.6666667,419.3333333,473.375,280.2666667,307,,,RT,538.2666667,347.4666667,354.4666667,345.2666667,480.0666667,373,532.2,418.2857143,403.6,347,549.6875,428.1333333,337.8,419.3333333
,,,,,,,,,,,,,1-back,IC - NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1-back,IC - NR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,IC- FA,0,1,0,0,0,0,0,2,0,0,0,0,1,0,,,IC- FA,0,0,0,0,0,0,0,2,0,0,0,0,1,0
RT,416.7333333,441.9333333,590.3333333,719.2142857,,RT,538.2666667,481.8666667,594.7333333,615.5333333,,,,C - NR,45,44,45,45,45,45,45,43,45,45,45,45,44,45,,,C - NR,45,45,45,45,45,45,45,43,45,45,45,45,44,45
,,,,,,,,,,,,,,C- Hit,15,15,15,15,15,15,15,15,15,15,15,15,15,15,,,C- Hit,15,15,15,15,15,15,15,15,15,15,15,15,15,15
SUBJ002,,SessionDate:,2/16/2018,,,,SessionDate:,9/14/2018,,,,,,RT,441.9333333,536.6875,455.4666667,531,720.7333333,497.4666667,591.4666667,498.1176471,510.4,630.6,551.4,570.3333333,298.875,331.4285714,,,RT,481.8666667,513.2,380.9333333,403.8666667,708.0666667,403,657.1333333,639.6,403.4666667,448.4,700,589.8666667,453.8125,452.6
,,,,,,,,,,,,,W,IC - NR,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,W,IC - NR,0,1,0,0,0,0,0,0,0,0,0,0,0,0
,IC - NR,IC- FA,C - NR,C- Hit,,,IC - NR,IC- FA,C - NR,C- Hit,,,,IC- FA,0,0,0,0,0,0,0,0,0,1,0,0,0,0,,,IC- FA,0,0,0,0,0,0,1,0,0,0,0,0,0,1
W,0,0,45,15,,W,0,0,45,15,,,,C - NR,45,45,45,45,45,45,45,45,45,44,45,45,45,45,,,C - NR,45,45,45,45,45,45,44,45,45,45,45,45,45,44
1- back,0,1,44,15,,1- back,0,0,45,15,,,,C- Hit,15,15,15,15,15,15,15,15,15,14,15,15,15,15,,,C- Hit,15,14,15,15,15,15,15,15,15,15,15,15,15,15
W,0,0,45,15,,W,1,0,45,14,,,,RT,590.3333333,359.1333333,399.6,331.5333333,499.2,432.3333333,443.6,509.6,430.0666667,464.8666667,487.9333333,483,369.5714286,369.9166667,,,RT,594.7333333,361.8571429,379.4,349.5333333,562.8,392.8,536.5,549.2857143,428.5333333,370.6666667,541.1333333,518.3333333,330.4,421.5625
2- back,0,0,45,15,,2- back,2,0,45,13,,,2-back,IC - NR,1,0,6,0,3,4,0,4,1,0,1,1,0,0,,2-back,IC - NR,0,2,1,0,0,0,0,1,0,0,1,0,0,0
,,,,,,,,,,,,,,IC- FA,0,0,1,0,1,2,0,0,0,0,1,0,0,0,,,IC- FA,0,0,0,1,0,0,0,3,0,0,0,0,1,1
,W,1- back,W,2- back,,,W,1- back,W,2- back,,,,C - NR,45,45,44,45,44,43,45,45,45,45,44,45,45,45,,,C - NR,45,45,45,44,45,45,45,42,45,45,45,45,44,44
RT,382.7333333,536.6875,359.1333333,674.1333333,,RT,347.4666667,513.2,361.8571429,491.5384615,,,,C- Hit,14,15,9,15,12,11,15,11,14,15,14,14,15,15,,,C- Hit,15,13,14,15,15,15,15,14,15,15,14,15,15,15
,,,,,,,,,,,,,,RT,719.2142857,674.1333333,895.9,463.6666667,663.3846154,583.3846154,643.0666667,559.6363636,432.6428571,770.2,836.8666667,607.8571429,432.0666667,522.25,,,RT,615.5333333,491.5384615,529.1428571,628.0625,809.2,474.3333333,774.0666667,654.6666667,473.8666667,575.5333333,951.8571429,614.0666667,586.4375,589.125
SUBJ003,,SessionDate:,2/21/2018,,,,SessionDate:,9/13/2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
